"id","titulo","precio","dueno","tipoAviso","region","comuna","telefono","telefonoLink","fechaPublicacion","codigo","descripcion"
29,"DEPARTAMENTO Departamento en Primer Piso en…","$ 42.000.000","Corretajes Prosal Ltda","Aviso profesional","Regiýn Metropolitana, Recoleta","Recoleta","+(56) 226337160
","https://www.yapo.cl/pg/0TOwgcQbWWfaPMSSCKtUagKFO9pB8vzd54fw1zg17NA==.gif","13 Agosto 18:08","70140055","- Departamento en Primer Piso - Punta Arenas 3661 Dp 104, Edificio 6-B. Recoleta- Poblaciýn Santa Mýnica - Gasto Comýn : $35.000.- aprox.- Piso : cerýmica- Living - Comedor- Cocina- 3 Dormitorios- 1 Baýo- Estacionamiento comýn- Aýo de Construcciýn : 1983 Rol de la Propiedad :5608-28- Cercano a movilizaciýn, supermercado, colegio yýreas verdes- Referencia de direcciýn : Diagonal . Caro conRaýl Montt - RECIBIMOS SU PROPIEDAD  VEHýCULO EN PARTE DEPAGO- COMISIýN DE CORRETAJE : 2,5 % + IVA- Ejecutivos de Ventas:Carola Riquelme cel. +569 9630 4086Javier Valenzuela cel. +569 9738 2871Cynthia Rojas cel. +569 3386 5360"
30,"Departamento Departamento 1 Dormitorio Lyon…","$ 300.000","Me Encargo","Aviso profesional","Regiýn Metropolitana, ýuýoa","ýuýoa","+(56) 986597314
","https://www.yapo.cl/pg/0Y+e8DXRsOtM/4TdgiKTCbaHkkr9JGTU9HLd/udwdNg==.gif","13 Agosto 18:07","73768145","ýAtenciýn!Departamento 1 dormitorio en excelente ubicaciýncon vista a la cordillera. Lyon con Irarrazaval, metro ýuýoa.Metros cuadrados: 40mts21Dormitorio1Baýo en suiteCocina americanaLogiaDespensaLinving comedorTerraza OritenteBodegaEstacionamiento privado por $50.000.-(no incluido)Servicios comunitarios: $65.000ConserjerýaSeguridad 24/7GimnasioPiscinaQuinchoCalefacciýnAgua caliente incluida en Alrededores:SupermercadosGasolinerasBancosRestaurantesMinimarketHospitalPlazasExcelente Locomociýn""Se Paga:1 Mes de Arriendo1 Mes de Garantýa1/2 mes de Comisiýn + iva""COD: 2758444Consultar por chat, llamada o whatsApp indicandoel cod de esta publicaciýn. (Si no tienes contactotelefýnico dýjanos un mensaje de chat o deWhatsapp)Numeros de contacto+56969153606+56986597314+56232548659(SI VES ESTA PUBLICACIýN ES PORQUE AUN SIGUEDISPONIBLE )"
31,"OFICINA Centro El Alba Las Condes","UF 29,00","Marcela Fernýndez","Aviso profesional","Regiýn Metropolitana, Las Condes","Las Condes","+(56) 995050394
","https://www.yapo.cl/pg/00Wg50I41H5qoU1ZDDEP5wRpj9agB0GWX6cnad0NDyQ==.gif","13 Agosto 18:07","73768141","Estupenda oficina en Centro El Alba, ideal parainversionistas, ya que cuenta con arriendoasegurado.Ubicada en proyecto ýnico en Sector Los Dominicos.Cuenta con:-Recepciýn-Sala de espera-Dos privados con salida a jardýn privado-Dos baýos-Dos estacionamientos-Una bodega, la cual se encuentra habilitadaLas instalaciones estýn con climatizaciýnsectorizada, alarma, condominio de oficinas conýreas verdes, cafeterýas y restoranes. Parkingpagado para clientes.Ideal para dentistas o consultas mýdicas.Equipamiento:-Aire acondicionado-Acceso para discapacitados-Ascensor-Portero-Terraza-Jardýn-Estacionamiento techado-Seguridad 24 HorasPara mýs informaciýn o visitas, llama al:+56995050394 o escrýbenos a: | Venta y Arriendo | Brokers & Partners |"
32,"DEPARTAMENTO El Llano Subercaseaux San Miguel","UF 4.970,00","ProUrbe Manquehue","Aviso profesional","Regiýn Metropolitana, San Miguel","San Miguel","+(56) 226636000
","https://www.yapo.cl/pg/00sfvDxnjdGsFfOGiKFzUGXXYepAU8rdtRrqPaqkHJQ==.gif","13 Agosto 18:06","71379898","Oportunidad ýnica en el Llano, impecable! Paravisitas contactar a Valeria Leal al 56988069363.El departamento tiene 3 dormitorios principal ensuite con walking closet. 2 baýos, cocina separadacon loggia y terraza de excelente tamaýo. Seencuentra en piso 8 y su orientaciýn esNorponiente. Con estacionamiento y bodega. Eledificio cuenta con piscina, quincho, sala deeventos, sala de niýos, gimnasio y lavanderýa.Seguridad las 24 horas. Los Gastos comunes son de$140.000 app. y las contribuciones de $100.000app. VLS Para visitas contactar a Valeria Leal al56988069363."
33,"casa Villa el Abrazo Maipý","$ 300.000","Oscar Lopez","Aviso personal","Regiýn Metropolitana, Maipý","Maipý","+(56) 981597600
","https://www.yapo.cl/pg/0fcB1ZacHms3B18TMKRCg+drUpcsiGOBOpK0imNdUrg==.gif","13 Agosto 18:06","73768137","Detalles de la vivienda- 2 dormitorios - 2 baýos- Living Comedor Amplio- Cocina ampliada - Estacionamiento.Detalles del Arriendo:- Canon de arriendo : $ 300.000 - Mes de Arriendo + Garantýa al inicio delcontrato- No paga gasto comýn.Documentos Solicitados:- Contrato indefinido.- 6 ultimas liquidaciones de sueldo.- 12 Ultimas cotizaciones AFP - Informe DICOM."
34,"Dpto primer piso con derecho a compra","$ 290.000","j.e propiedades","Aviso profesional","Regiýn Metropolitana, La Pintana","La Pintana","+(56) 994048279
","https://www.yapo.cl/pg/08/fgDXKKkkx6sd6+86GD7qHe3vs0UpNJvyXv7IwvAw==.gif","13 Agosto 18:06","73768131","J E Propiedades Arrienda con derecho a compraDepartamento en la comuna de La PintanaUbicado en Primer piso y calles principales comoAvda La Serena3 habitaciones, 1 baýo, cocina, amplio livingcomedor, patio trasero con entrada independiente,estacionamientoprecio de Arriendo es de $290.000 mas mes degarantýa y 50% de corretajePrecio de Venta $29.990.000 mas honorarios decorretajeGESTIONA CON NOSOTROS TU CRýDITO HIPOTECARIOcoordinar visitas a los contactos +56994048279 /+56977673198"
35,"Departamento Bellas Artes (amoblado)","$ 350.000","Jocelyn Olguin","Aviso personal","Regiýn Metropolitana, Santiago","Santiago","+(56) 962476102
","https://www.yapo.cl/pg/0JrAis/CuWAUNap8fs0YCQaKI3iOOLBJ24ygkIXr0sg==.gif","13 Agosto 18:06","73768129","Arriendo amplio departamento frente a metro BellasArtes, totalmente amoblado. 2 habitaciones, 1 baýoen suite, cocina separada, amplia terraza. Estý en3ý piso, el edificio cuenta con conserjerýa 24horas y cýmaras de seguridad.Excelente ubicaciýn, barrio artistico, frente ametro Bellas Artes, a un costado del parqueForestal, excelente conectividad y locomociýn, auna cuadra de supermercados, tiendas, cafýs,teatros, restaurantes, cercano a barrio Lastarriasy Barrio Esmeralda. Tienes cerca notarias, bancos,entre otras cosas, por lo que la ubicacion tambienes ideal para cuando se deba realizar trýmitesvarios.El departamento cuenta con:refrigerador, micronda, cocina, campanaextractora, utensilios de cocina, comedor para 6personas, living, 1 televisor, lavadora, calefont,1 cama de 2 plazas, 1 futon de 1 plaza 1/2, doblechapa, entre otras cosas.Arrienda directamente la dueýa.Contacto al +56962476102. El valor del arriendo es de $350.000 hastadiciembre, precio por pandemia. Luego sereestablece el valor normal del arriendo. Mýsdetalle al nýmero de telýfono."
36,"Departamento Nueva de Valdes & Av. manuel A…","$ 350.000","Me Encargo","Aviso profesional","Regiýn Metropolitana, Santiago","Santiago","+(56) 986597314
","https://www.yapo.cl/pg/0DuHbjhyBe5Gf674fbkJojKVeJyWn2cQHfmdGKTXgQQ==.gif","13 Agosto 18:06","73768120","ýAtenciýn!Gran departamento con estacionamiento, excelenteconectividad a pasos de metro Matta, entregainmediata.Nueva de Valdes / Av. manuel Antonio Matta,Santiago.Superficie total : 50 mts2Caracterýsticas2 Dormitorios1 BaýosCocinaLivingTerraza EstacionamientoServicios comunitarios: $70.000ConserjerýaSeguridad 24/7PiscinaGimnasioLavanderýaAlrededores:SupermercadosGasolinerasBancosRestaurantesMinimarketHospitalPlazasExcelente Locomociýn""Se Paga:1 Mes de Arriendo1 Mes de Garantýa1/2 mes de Comisiýn + iva ""COD:   2753468Consultar por chat, llamada o whatsApp indicandoel cod de esta publicaciýn. (Si no tienes contactotelefýnico dýjanos un mensaje de chat o deWhatsapp)Nýmeros de contacto+56986597314+56969153606+56232548659(SI VES ESTA PUBLICACIýN ES PORQUE AUN SIGUEDISPONIBLE )"
37,"Departamento Departamento 1 dormitorio Metr…","$ 290.000","Me Encargo","Aviso profesional","Regiýn Metropolitana, Santiago","Santiago","+(56) 986597314
","https://www.yapo.cl/pg/0egxmhT4AqgX/wXhdIXbh6sEFC445pHnrfU4SgAV/SA==.gif","13 Agosto 18:05","73768109","ýAtenciýn!Excelente departamento 1 dormitorio a 2 cuadrasdel metro Bellas Artes y cercano a supermercados.Merced / Enrique Mac Iver, SantiagoSuperficie total :  45 mts2Caracterýsticas1 Dormitorios con closet1 Baýos Cocina equipadaLivingBalcon ponienteServicios comunitarios: $65.000Conserjeria 24/7Sala multiusoLavanderýaGimnasioAcceso controladoAlrededores:SupermercadosGasolinerasBancosRestaurantesMinimarketHospitalPlazasExcelente Locomociýn""Se Paga:1 Mes de Arriendo1 Mes de Garantýa1/2 mes de Comisiýn + IVA""COD: 2676932Consultar por chat, llamada o whatsApp indicandoel cod de esta publicaciýn. (Si no tienes contactotelefýnico dýjanos un mensaje de chat o deWhatsapp)            Numeros de contacto+56969153606+56986597314+56232548659(SI VES ESTA PUBLICACIýN ES PORQUE AUN SIGUEDISPONIBLE )"
38,"2 dormitorios y 2 baýos, Metro Mirador, La Florida","$ 350.000","ana molina macaya","Aviso profesional","Regiýn Metropolitana, La Florida","La Florida","+(56) 998282270
","https://www.yapo.cl/pg/0vjljv8I3jzK2NuT4pa6ZsUEEJRr0CLiwnsWA2+7tLw==.gif","13 Agosto 18:05","73767999","2 dormitorio + 2 baýo, Metro Mirador, La Florida.Departamento nuevo. Porcelanato en living,comedor, pasillo y baýos, dormitorio con pisoflotante, cocina equipada con cubiertas degranito, encimera, horno y campana, instalaciýnpara lavadora, ventanales termopaneles en pvc,citýfono y alarma en todos los departamentos. Seentrega con barras dobles para cortinas y lýmparasinstalas. Edificio equipado con piscina, gimnasio,quincho, sala multiuso, moderno bicicletero,circuito cerrado de tv. Sin estacionamiento y Sinbodega. Gasto comýn entre $75.000 y $95.000.Requisitos para arrendar:Cýdula de identidad por ambos lados; Informe DicomPlatinum 360 al dýa; Ingresos deben ser superioren 3 veces el monto del arriendo y se puedecomplementar renta; Certificado de cotizaciones deAFP con Rut de empleador; 3 ýltimas liquidacionessi el sueldo es fijo y 6 ultimas si es variable;Pasaporte y Cýdula Chilena; Contrato de Trabajo.En notarýa se debe cancelar mes de arriendo, mesde garantýa y comisiýn de corretaje. Ademýs, sedejan dos cheques sin fecha, nominativos ycruzados, por el valor del arriendo, estos seutilizarýn en caso de que el arrendatario seretrase en el pago de su mensualidad y sedevuelven una vez que se finiquite el Contrato delArriendo. Sino tiene cheque, se deja una segundagarantýa pagadera hasta en tres cuotas, y que sepuede empieza a pagar a contar del 4to mes dearriendo junto al arriendo."
39,"Departamento Erasmo Escala, Santiago","$ 250.000","Me Encargo","Aviso profesional","Regiýn Metropolitana, Santiago","Santiago","+(56) 986597314
","https://www.yapo.cl/pg/0l5IliTeYmMF1L69Z0WYJA6kN2q4AtJQz9KrngEag2w==.gif","13 Agosto 18:04","73768094","ýAtenciýn! Departamento Home Estudio ubicado en la comuna deSantiago, a pasos de metro estacion Republica,entrega inmediata.     Garcia Reyes / Erasmo Escala, SantiagoSuperficie total: 30 mts2  Caracterýsticas1 Dormitorio1 Baýo   Cocina americanaLivingServicios comunitarios:  $60.000 Conserjerýa Seguridad 24/7QuinchosLavanderýaGimnasioPiscinaAlrededores:SupermercadosGasolinerasBancosRestaurantesMinimarketHospitalPlazasExcelente Locomociýn""Se Paga:1 Mes de Arriendo1 Mes de Garantýa1/2 mes de Comisiýn + iva""         COD:  2635307 Consultar por chat, llamada o whatsApp indicandoel cod de esta publicaciýn. (Si no tienes contactotelefýnico dýjanos un mensaje de chat o deWhatsapp)Numeros de contacto +56969153606+56986597314+56232548659 (SI VES ESTA PUBLICACIýN ES PORQUE AUN SIGUEDISPONIBLE )"
40,"Departamento Rosas, Santiago","$ 270.000","Me Encargo","Aviso profesional","Regiýn Metropolitana, Santiago","Santiago","+(56) 986597314
","https://www.yapo.cl/pg/0Z0k/WxhROFdALyq6Xme6IfhgI2YpBGWFCNKLbydthA==.gif","13 Agosto 18:04","73768091","ýAtenciýn!Excelente departamento a dos cuadras del metroCumming y cercano a supermercados, entregainmediata.General Baquedano / Rosas, SantiagoSuperficie total :  30 mts2Caracterýsticas1 Dormitorio con closet1 Baýos Cocina EquipadaLivingServicios comunitarios: $60.000Conserjeria 24/7Sala multiusoQuinchoLavanderýaGimnasioPiscinaAcceso controladoAlrededores:SupermercadosGasolinerasBancosRestaurantesMinimarketHospitalPlazasExcelente Locomociýn""Se Paga:1 Mes de Arriendo1 Mes de Garantýa1/2 mes de Comisiýn + IVA""COD: 2643493Consultar por chat, llamada o whatsApp indicandoel cod de esta publicaciýn. (Si no tienes contactotelefýnico dýjanos un mensaje de chat o deWhatsapp)            Nýmeros de contacto+56986597314+56969153606+56932548659(SI VES ESTA PUBLICACIýN ES PORQUE AUN SIGUEDISPONIBLE )"
41,"Departamento Vicuýa Mackenna / ýuble, Santiago","$ 250.000","Me Encargo","Aviso profesional","Regiýn Metropolitana, Santiago","Santiago","+(56) 986597314
","https://www.yapo.cl/pg/0LlJrGkSQ3He0cpbfsIilob58ZpEypUJn5JKmYPx9UQ==.gif","13 Agosto 18:04","73768088","ýAtenciýn! Excelente Departamento ubicado en la comuna deSantiago, a pasos de metro estacion ýuble, entregainmediata.     Vicuýa Mackenna / ýuble, SantiagoSuperficie total: 34 mts2  Caracterýsticas1 Dormitorio1 Baýo   Cocina EquipadaLivingServicios comunitarios:  $45.000 Conserjerýa Seguridad 24/7QuinchosLavanderýaGimnasioPiscinaAlrededores:SupermercadosGasolinerasBancosRestaurantesMinimarketHospitalPlazasExcelente Locomociýn""Se Paga:1 Mes de Arriendo1 Mes de Garantýa1/2 mes de Comisiýn + iva""         COD:  2643597 Consultar por chat, llamada o whatsApp indicandoel cod de esta publicaciýn. (Si no tienes contactotelefýnico dýjanos un mensaje de chat o deWhatsapp)Numeros de contacto +56969153606+56986597314+56232548659 (SI VES ESTA PUBLICACIýN ES PORQUE AUN SIGUEDISPONIBLE )"
42,"Depto metro Moneda como Nuevo","$ 320.000","Lidia Sanhueza Suazo","Aviso personal","Regiýn Metropolitana, Santiago","Santiago","+(56) 958450066
","https://www.yapo.cl/pg/0ie5U6qQTpE9Zqi6jw2YrJJbfss6I5hxHI8BR1Ps3bA==.gif","13 Agosto 18:04","73768086","Metro Moneda, cercano a metro Parque Almagro yToesca.- Logia con instalaciýn de lavadora- Amplia terraza- Cocina cerrada con campana y cocina encimera- Todas las ventanas con rieles dobles- Lýmparas en todas las instalaciones y ampolletasahorro de energýa.* No tiene estacionamiento ni bodega.REQUISITOS- Un aýo de antiguedad laboral- Renta superior a $800.000- Certificado de AFP (12 ýltimos meses)- Certificado de Dicom- Certificado de Antecedentes- Aval con los mismos requisitos- Gasto en notaria por $8.000 aprox. por contratode arriendo- Mes de arriendo y garantýaSIN COMISIýN, ARRIENDA SU DUEýA"
43,"Departamento Fray Camilo Henriquez & Sta Is…","$ 290.000","Me Encargo","Aviso profesional","Regiýn Metropolitana, Santiago","Santiago","+(56) 986597314
","https://www.yapo.cl/pg/0EQkcki9Oci6TbEu/x9ZngXhAsel3n08Vmf5JfcMFlw==.gif","13 Agosto 18:04","73768085","ýAtenciýn!Excelente departamento 1 dormitorio a 2 cuadrasdel metro Santa Isabel y cercano a supermercados.Piso 5, sin estacionamiento. La garantia se puedepagar en dos partes.Descuento los primeros tres meses a (275.000) apartir del tercero (290.000) y desde el sexto mesvalor normal (300.000). Fray Camilo Henriquez / Sta Isabel, SantiagoSuperficie total :  30 mts2Caracterýsticas1 Dormitorios con closet1 Baýos Cocina equipadaLivingBalconBodegaServicios comunitarios: $45.000Conserjeria 24/7Sala multiusoQuinchoPiscinaLavanderýaGimnasioBicicleterosAcceso controladoAlrededores:SupermercadosGasolinerasBancosRestaurantesMinimarketHospitalPlazasExcelente Locomociýn""Se Paga:1 Mes de Arriendo1 Mes de Garantýa1/2 mes de Comisiýn + IVA""COD: 2654709Consultar por chat, llamada o whatsApp indicandoel cod de esta publicaciýn. (Si no tienes contactotelefýnico dýjanos un mensaje de chat o deWhatsapp)            ""Estamos en insta como: meencargopro(SI VES ESTA PUBLICACIýN ES PORQUE AUN SIGUEDISPONIBLE ) """
44,"CASA Piedra Roja Colina","$ 1.650.000","Marcela Fernýndez","Aviso profesional","Regiýn Metropolitana, Colina","Colina","+(56) 995050394
","https://www.yapo.cl/pg/0G4kpDJjffFU3SeKs7n8SSfCULJDGMKi99ay4g0S4WQ==.gif","13 Agosto 18:04","73768077","Increýble casa mediterrýnea, totalmente nueva, conmodernas terminaciones, calidad en artefactos,amplios espacios, detalles de madera en escalera ycielo de hormigýn a la vista. Ubicada encondominio consolidado del sector de Piedra Roja,con acceso controlado y seguridad las 24 hrs, yýreas verdes. Cercana a colegios San Anselmo,Colegio Alemýn, Clýnica Las Condes y futuraClýnica Alemana (en construcciýn), Centrocomercial Piedra roja (supermercados, bancos yrestaurantes). Acceso directo a AutopistaNororiente y Camino Juan Pablo II (Lo Barnechea).PRIMER PISO-Amplio hall de entrada-Baýo de visita-Luminoso living y comedor con salida a terrazaampliada-Sala de estar familiar-Moderna cocina equipada con encimera, campana yhorno empotrado, con cubierta de cuarzo y piso deporcelanato-Lavadero integrado-Patio de servicio-Dormitorio y baýo de servicioSEGUNDO PISO-Amplia sala de estar familiar-Dos dormitorios -Baýo completo -Dormitorio en suite -Gran dormitorio principal en suite con ampliowalk in closet, amplio y luminoso baýo con tinahidromasaje y doble vanitorio y salida a terrazaprivadaEXTERIOR-Terraza ampliada y techada-Antejardýn con estacionamiento para 2 autos-Portýn automýticoEQUIPAMIENTO-Acceso con piso de marmol-Piso de madera en toda la casa a excepciýn debaýos y cocina con porcelanato-Calefaccion central por radiadores-Ventanales de termopanelPara mýs informaciýn o visitas, llama al:+56995050394 o escrýbenos a: | Venta y Arriendo | Brokers & Partners |"
45,"2 Dormit.,1 Baýo, Metro Bellas Artes","$ 260.000","Martina Propiedades","Aviso profesional","Regiýn Metropolitana, Santiago","Santiago","+(56) 998615857
","https://www.yapo.cl/pg/0H2rxCCNsaYCxR/RJe7pZPce99jzpn0abCn10/tuWdA==.gif","13 Agosto 18:02","73768049","Departamento impecable, en 5ý piso de modernoedificio, a pasos de la estaciýn de metro y delBarrio Bellas Artes. Consta de 2 dormitorios (1grande y otro pequeýo), 1 baýo, closets, conexiýnp/lavadora, cocina americana semi amobladac/desayunador y sala de estar. El edificio poseepiscina, quinchos y sala de reuniones en laazotea, con vista panorýmica a la ciudad;lavanderýa y conserjerýa las 24 hrs. Con muybuenos accesos: locomociýn casi a la puerta,metro, supermercados, bancos, casas de cambio,restaurantes, cafeterýas, cines, teatros, parques,plaza, espacios culturales, librerýas,bibliotecas, mercados y comercio; en pleno casohistýrico de la ciudad de Santiago. Gastos Comunes$47.000 (inc. agua caliente)."
46,"Departamento Santo Domingo / Morande, Santiago","$ 300.000","Me Encargo","Aviso profesional","Regiýn Metropolitana, Santiago","Santiago","+(56) 986597314
","https://www.yapo.cl/pg/0wIpYK/3YQwKhLfOlzJ2cuA+RpU8k46bkqoRGv9dKyA==.gif","13 Agosto 18:00","73768012","ýAtenciýn!Hermoso departamento ubicado en la comuna deSantiago, a pasos de metro estacion Universidad dechile, Entrega Inmediata.Santo Domingo / Morande, SantiagoSuperficie total : 35 mts2Caracterýsticas1 Dormitorio1 BaýoCocina Tipo AmericanoLivingTerrazaBodegaServicios comunitarios: $40.000ConserjerýaSeguridad 24/7QuinchoGimnasioSalýn para eventosEstacionamiento visitas.LavanderýaAlrededores:SupermercadosGasolinerasBancosRestaurantesMinimarketHospitalPlazasExcelente Locomociýn""Se Paga:1 Mes de Arriendo1 Mes de Garantýa1/2 mes de Comisiýn + iva ""COD:  2576336Consultar por chat, llamada o whatsApp indicandoel cod de esta publicaciýn. (Si no tienes contactotelefýnico dýjanos un mensaje de chat o deWhatsapp)Nýmeros de contacto+56969153606+56986597314+56232548659(SI VES ESTA PUBLICACIýN ES PORQUE AUN SIGUEDISPONIBLE )"
47,"hermosa parcela en Talagante , el oliveto","$ 190.000.000","Carlos","Aviso personal","Regiýn Metropolitana, Talagante","Talagante","+(56) 940780600
","https://www.yapo.cl/pg/0oinY9Ho+wsVhJswocmsIXJwb7GtjZ/oQmH8U/z3HHw==.gif","13 Agosto 17:59","73768003","Se venden hermosa parcela, condominio consolidado,seguridad , ýreas comunes, tranquilo, en camino eloliveto, condominio doýa Elsa, casa de 145 M2, 3piezas y baýo. Cocina equipada, quincho de 70 M2construido de madera nativa,con dos baýo alexterior,piscina 4x9. Bodega , gallinero, canil,sistema de riego, frutales, llegar y habitar. Sinregularizaciýn. (Se encuentra en trýmite) . Vendensus dueýos . Mayor informaciýn al WhatsApp+5694078600."
48,"Inversion 1D+1B","UF 2.700,00","Miguel Agudelo","Aviso personal","Regiýn Metropolitana, La Florida","La Florida","+(56) 975759022
","https://www.yapo.cl/pg/0qr1sZVQRM8AFfn5s+qVoqhA234oVhPOSihXJkDAwzw==.gif","13 Agosto 17:59","73768000","Vendo departamento ubicado en la Florida, cercanoa av Vicuýa Mackenna/ Americo vespucio.consultas a +56975759022reales interesados"
49,"Metro Santa Ana 1d1b dpto ","$ 245.000","STZ Renta Residencial","Aviso profesional","Regiýn Metropolitana, Santiago","Santiago","+(56) 948921908
","https://www.yapo.cl/pg/0F8iRbGfABL+8I6mwQinB6N9yYqRWdXXrm0DFIlL+QQ==.gif","13 Agosto 17:59","73767996","Departamento ubicado en calle Mario Keutzberger, ados cuadras del metro Santa Ana.Rebaja por tres meses, hasta Octubre, luegoaumento a 260.000Departamento de dos ambientes, muy cýmodo.Cocina americana equipada, con encimera, horno ycampanaMesýn de cocinaLiving con pequeýa terrazaDormitorio en suite con closetBaýo completo con tina, y espacio para lavadoraVista despejada, piso 18El edificio cuenta con ingreso por aplicaciýnmývil y guardia.Conserje en cada Torre.Piscina, Quincho, Lavanderýa.Espacios comunes con vistas a todo Santiago.Requisitos: Sueldo de 750.000 pesos, no tenerdicom, contar con un codeudor, estabilidadlaboral, extranjeros con visa definitiva.Para mayor informaciýn contactarnos al whatsapp+56948921908."
50,"Departamento Enrique mac Iver, Santiago","$ 300.000","Me Encargo","Aviso profesional","Regiýn Metropolitana, Santiago","Santiago","+(56) 986597314
","https://www.yapo.cl/pg/0yI4QjiqmD4EIAdxX11Uu3kAN1KACjPFnCislfXeuEA==.gif","13 Agosto 17:59","73767993","ýAtenciýn!Hermoso departamento ubicado en la comuna deSantiago , a pasos de metro estacion Bellas Artes,Entrega Inmediata.Santo Domingo / Enrique mac Iver, Santiago Superficie total : 35 mts2Caracterýsticas1 Dormitorio1 BaýoCocina Tipo AmericanoLivingTerrazaServicios comunitarios: $40.000ConserjerýaSeguridad 24/7QuinchoPiscinaGimnasio Salýn para eventosEstacionamiento de visitasSalon InternetLavanderýaAlrededores:SupermercadosGasolinerasBancosRestaurantesMinimarketHospitalPlazasExcelente Locomociýn""Se Paga:1 Mes de Arriendo1 Mes de Garantýa1/2 mes de Comisiýn + iva ""COD:  2561941Consultar por chat, llamada o whatsApp indicandoel cod de esta publicaciýn. (Si no tienes contactotelefýnico dýjanos un mensaje de chat o deWhatsapp)Nýmeros de contacto+56969153606+56986597314+56232548659(SI VES ESTA PUBLICACIýN ES PORQUE AUN SIGUEDISPONIBLE )"
